,dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
2342705,1770-06-01,19.762,4.5710000000000015,Florence,Italy,44.20N,11.18E
2342706,1770-07-01,20.459,8.851,Florence,Italy,44.20N,11.18E
2342707,1770-08-01,21.111,4.99,Florence,Italy,44.20N,11.18E
2342708,1770-09-01,19.105,3.143,Florence,Italy,44.20N,11.18E
2342709,1770-10-01,12.359000000000002,5.267,Florence,Italy,44.20N,11.18E
2342710,1770-11-01,8.4,7.3370000000000015,Florence,Italy,44.20N,11.18E
2342711,1770-12-01,3.637,10.474,Florence,Italy,44.20N,11.18E
2342712,1771-01-01,4.2780000000000005,8.205,Florence,Italy,44.20N,11.18E
2342713,1771-02-01,2.777,4.677,Florence,Italy,44.20N,11.18E
2342714,1771-03-01,5.912000000000001,8.437999999999999,Florence,Italy,44.20N,11.18E
2342715,1771-04-01,7.806,7.777,Florence,Italy,44.20N,11.18E
2342716,1771-05-01,16.485,12.013,Florence,Italy,44.20N,11.18E
2342717,1771-06-01,18.973,3.13,Florence,Italy,44.20N,11.18E
2342718,1771-07-01,22.283,1.723,Florence,Italy,44.20N,11.18E
2342719,1771-08-01,22.08,2.712,Florence,Italy,44.20N,11.18E
2342720,1771-09-01,18.166,2.048,Florence,Italy,44.20N,11.18E
2342721,1771-10-01,12.96,1.984,Florence,Italy,44.20N,11.18E
2342722,1771-11-01,5.675,5.008,Florence,Italy,44.20N,11.18E
2342723,1771-12-01,5.5600000000000005,4.157,Florence,Italy,44.20N,11.18E
2342724,1772-01-01,4.077999999999999,8.968,Florence,Italy,44.20N,11.18E
2342725,1772-02-01,7.019,10.739,Florence,Italy,44.20N,11.18E
2342726,1772-03-01,9.321,3.995,Florence,Italy,44.20N,11.18E
2342727,1772-04-01,11.279000000000002,4.254,Florence,Italy,44.20N,11.18E
2342728,1772-05-01,14.300999999999998,1.679,Florence,Italy,44.20N,11.18E
2342729,1772-06-01,21.186999999999998,5.009,Florence,Italy,44.20N,11.18E
2342730,1772-07-01,22.974,3.357,Florence,Italy,44.20N,11.18E
2342731,1772-08-01,22.144,4.746,Florence,Italy,44.20N,11.18E
2342732,1772-09-01,18.463,3.665,Florence,Italy,44.20N,11.18E
2342733,1772-10-01,13.916,2.319,Florence,Italy,44.20N,11.18E
2342734,1772-11-01,9.818999999999999,6.035,Florence,Italy,44.20N,11.18E
2342735,1772-12-01,5.895,3.775,Florence,Italy,44.20N,11.18E
2342736,1773-01-01,3.683,2.797,Florence,Italy,44.20N,11.18E
2342737,1773-02-01,2.875,3.4960000000000004,Florence,Italy,44.20N,11.18E
2342738,1773-03-01,5.813,1.945,Florence,Italy,44.20N,11.18E
2342739,1773-04-01,10.136,3.73,Florence,Italy,44.20N,11.18E
2342740,1773-05-01,15.311,3.77,Florence,Italy,44.20N,11.18E
2342741,1773-06-01,18.003999999999994,1.754,Florence,Italy,44.20N,11.18E
2342742,1773-07-01,20.214,2.012,Florence,Italy,44.20N,11.18E
2342743,1773-08-01,20.203,2.296,Florence,Italy,44.20N,11.18E
2342744,1773-09-01,18.844,2.134,Florence,Italy,44.20N,11.18E
2342745,1773-10-01,13.869000000000002,1.685,Florence,Italy,44.20N,11.18E
2342746,1773-11-01,7.381,7.189,Florence,Italy,44.20N,11.18E
2342747,1773-12-01,5.808,5.729,Florence,Italy,44.20N,11.18E
2342748,1774-01-01,2.4479999999999995,9.025,Florence,Italy,44.20N,11.18E
2342749,1774-02-01,4.4,8.067,Florence,Italy,44.20N,11.18E
2342750,1774-03-01,7.984,2.761,Florence,Italy,44.20N,11.18E
2342751,1774-04-01,11.585,5.77,Florence,Italy,44.20N,11.18E
2342752,1774-05-01,15.069,2.37,Florence,Italy,44.20N,11.18E
2342753,1774-06-01,20.311,7.775,Florence,Italy,44.20N,11.18E
2342754,1774-07-01,22.379,7.775,Florence,Italy,44.20N,11.18E
